area_type,availability,location,size,society,total_sqft,Hospitals,Public Connectivity,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 sq mt,Coomee ,1056,2,1,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 sq km,Theanmp,2600,5,3,120
Built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1440,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 sq mt,Soiewre,1521,3,1,95
Super built-up  Area,Ready To Move,Kothanur,2 sq mt,,1200,2,1,51
Super built-up  Area,Ready To Move,Whitefield,2 sq mt,DuenaTa,1170,2,1,38
Super built-up  Area,18-May,Old Airport Road,4 sq mt,Jaades ,2732,4,,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4 sq mt,Brway G,3300,4,,600
Super built-up  Area,Ready To Move,Marathahalli,3 sq mt,,1310,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 sq km,,1020,6,,370
Super built-up  Area,18-Feb,Whitefield,3 sq mt,,1800,2,2,70
Plot  Area,Ready To Move,Whitefield,4 sq km,Prrry M,2785,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 sq mt,Shncyes,1000,2,1,38
Built-up  Area,Ready To Move,Gottigere,2 sq mt,,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,3 sq km,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,2 sq mt,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 sq mt,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 sq mt,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 sq mt,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2 sq mt,,1100,2,2,48
Built-up  Area,Ready To Move,Kengeri,1 sq mt,,600,1,1,15
Super built-up  Area,19-Dec,Binny Pete,3 sq mt,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,4 sq km,Soitya ,2800,5,2,380
Super built-up  Area,Ready To Move,Bellandur,3 sq mt,,1767,3,1,103
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25
Super built-up  Area,18-May,Mangammanapalya,3 sq mt,,1250,3,2,56
Super built-up  Area,Ready To Move,Electronic City,2 sq mt,Itelaa ,660,1,1,23.1
Built-up  Area,20-Dec,Whitefield,3 sq mt,,1610,3,2,81
Super built-up  Area,17-Oct,Ramagondanahalli,2 sq mt,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,3 sq mt,KBityo ,1025,2,1,47
Super built-up  Area,19-Dec,Yelahanka,4 sq mt,LedorSa,2500,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3 sq mt,Prityel,1075,2,1,35
Super built-up  Area,Ready To Move,Hebbal,3 sq mt,Mahosya,1760,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 sq mt,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 sq mt,Kantsce,1925,3,,125
Super built-up  Area,21-Dec,Kanakpura Road,2 sq mt,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 sq mt,,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 sq mt,Dieldli,1724,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,3 sq mt,,1290,2,2,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 sq mt,,1143,2,2,45
Built-up  Area,Ready To Move,Murugeshpalya,2 sq mt,Gentson,1296,2,,81
Super built-up  Area,19-Dec,Sarjapur  Road,3 sq mt,Soini T,1254,3,2,38
Super built-up  Area,Ready To Move,Ganga Nagar,1 sq mt,Ceove G,600,1,0,38
Plot  Area,Ready To Move,Yelahanka,1 sq km,,660,1,0,48
Super built-up  Area,19-Sep,Kanakpura Road,2 sq mt,Soazak ,1330,2,2,91.79
Plot  Area,Ready To Move,HSR Layout,8 sq km,,600,9,,200
Super built-up  Area,Ready To Move,Doddathoguru,2 sq mt,LancyRe,970,2,0,33
Super built-up  Area,20-Sep,Whitefield,2 sq mt,Goted U,1459,2,1,94.82
Plot  Area,Ready To Move,KR Puram,2 sq km,,800,1,1,130
Built-up  Area,Ready To Move,Himagiri Meadows,2 sq mt,,869,2,1,36
Super built-up  Area,Ready To Move,Adarsh Nagar,2 sq mt,Bhncyis,1270,2,1,50
Super built-up  Area,18-Mar,Bhoganhalli,3 sq mt,Rosha I,1670,3,1,99
Built-up  Area,Ready To Move,Whitefield,3 sq mt,Suent V,2010,3,2,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 sq mt,RothaVa,1185,2,2,75
Super built-up  Area,Ready To Move,Yelahanka,3 sq mt,NCowsar,1600,2,3,75
Super built-up  Area,Ready To Move,Begur Road,2 sq mt,Dhalsh ,1200,2,2,44
Built-up  Area,20-Feb,Devanahalli,4 sq km,BrereAt,3020,,,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 sq mt,PeBayle,1500,2,2,185
Plot  Area,Ready To Move,Murugeshpalya,6 sq km,,1407,4,1,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 sq mt,,840,2,2,45
Plot  Area,Ready To Move,Tharabanahalli,3 sq km,,4395,3,2,240
Super built-up  Area,Ready To Move,Ganga Nagar,2 sq mt,Laavevi,845,2,1,55
Plot  Area,Ready To Move,Whitefield,4 sq km,Chranya,5700,5,3,650
